JSON District Name,GEO District Name
Ahmedabad,Ahmadabad
Ahmednagar,Ahmadnagar
Aizawl,Aizawal
Baleswar,Baleshwar
Balodabazar Bhatapara,Baloda Bazar
Balrampur Ramanujganj,Balrampur
Banaskantha,Banas Kantha
Barabanki,Bara Banki
Baramulla,Baramula
Bengaluru Urban,Bengaluru
Buldhana,Buldana
Chamarajanagar,Chamarajanagara
Chhotaudepur,Chota Udaipur
Chittorgarh,Chittaurgarh
Darjiling,Darjeeling
Dantewada,Dakshin Bastar Dantewada
Firozepur,Firozpur
Gautambuddha Nagar,Gautam Buddha Nagar
Gondia,Gondiya
Hanumakonda,Warangal Urban
Hazaribag,Hazaribagh
Jajpur,Jajapur
Jalore,Jalor
Jangaon,Jangoan
Kabirdham,Kabeerdham
Kaimur,Kaimur Bhabhua
Kasargod,Kasaragod
Khandwa,East Nimar
Khargone,West Nimar
Koch Bihar,Cooch Behar
Koderma,Kodarma
Kotputli Behror,Jaipur
Lakhimpur Kheri,Kheri
Leh Ladakh,Leh
Maharajganj,Mahrajganj
Mahbubnagar,Mahabubnagar
Malda,Maldah
Malerkotla,Sangrur
Marigaon,Morigaon
Mauganj,Rewa
Mayiladuthurai,Nagapattinam
Mewat,Nuh
Narmadapuram,Hoshangabad
Purnea,Purnia
Raebareli,Rae Bareli
Rangareddy,Ranga Reddy
Sabarkantha,Sabar Kantha
Sahibganj,Sahibganj
Sant Kabeer Nagar,Sant Kabir Nagar
Saraikela Kharsawan,Saraikela-kharsawan
Sepahijala,Sipahijala
Shaheed Bhagat Singh Nagar,Shahid Bhagat Singh Nagar
Shravasti,Shrawasti
Siaha,Saiha
Sonepur,Subarnapur
Thoothukudi,Thoothukkudi
Tiruvallur,Thiruvallur
Tiruvarur,Thiruvarur
Unakoti,Unokoti
Vijayanagara,Ballari
Warangal,Warangal Urban
West Singhbhum,Pashchimi Singhbhum
Yadgiri,Yadgir
YSR,Y.S.R.
Spsr Nellore,S.P.S. Nellore
Sri Potti Sriramulu Nellore,S.P.S. Nellore
Dibang Valley,Upper Dibang Valley
Purbi Champaran,East Champaran
Paschim Champaran,West Champaran
Bemetara,Bametara
Korea,Koriya
North Bastar Kanker,Uttar Bastar Kanker
Central,Central Delhi
East,East Delhi
North,North Delhi
North East,North East Delhi
North West,North West Delhi
South,South Delhi
South West,South West Delhi
West,West Delhi
Charkhi Dadri,Charki Dadri
Budgam,Badgam
Poonch,Punch
Shopian,Shupiyan
East Singhbhum,Purbi Singhbhum
Narsinghpur,Narsimhapur
Beed,Bid
Boudh,Baudh
Deogarh,Debagarh
Nabarangpur,Nabarangapur
Dholpur,Dhaulpur
North,North Sikkim
Jagtial,Jagitial
Jayashankar Bhupalpally,Jayashankar
Ayodhya,Faizabad
Purba Medinipur,Medinipur East
Paschim Medinipur,Medinipur West
North Twenty Four Parganas,North 24 Parganas
South Twenty Four Parganas,South 24 Parganas
Pashchim Champaran,West Champaran
Sas Nagar,S.A.S. Nagar
Ysr,Y.S.R.
North Sikkim,North 
